"","Sites","AB","SR","BI","Com.dist","Hunting"
"1","1",11,8,135.51,-1.11989236443133,0
"2","2",14,11,117.438,-0.774654473469132,0
"3","3",12,9,162.858,-0.121274545357364,0
"4","4",32,13,288.448,0.402591289386846,0
"5","5",22,12,218.56,-0.103848950764644,0
"6","6",9,7,204.88,-1.65297188284342,1
"7","7",16,11,77.656,-0.838026006137351,1
"8","8",11,8,291.04,-0.475063981855253,1
"9","9",22,13,128.344,0.260403464110951,1
"10","10",11,8,78.29,0.799097476221641,1
"11","11",8,7,54.638,-1.16142935035878,1
"12","12",10,7,116.488,-0.891118632925657,1
"13","13",15,11,137.66,-0.285775515484963,1
"14","14",22,12,149.178,0.287016934702205,1
"15","15",18,10,457.348,0.752674627610676,1
"16","16",8,7,68.288,-0.91490098004188,0
"17","17",19,9,114.468,-0.557811453649108,0
"18","18",15,10,133.21,-0.304285394021343,0
"19","19",32,17,272.826,0.254564067111078,0
"20","20",23,11,181.16,0.683746376927438,0
"21","1",9,7,97.48,-1.11989236443133,0
"22","2",28,14,166.158,-0.774654473469132,0
"23","3",28,13,261.43,-0.121274545357364,0
"24","4",42,16,497.068,0.402591289386846,0
"25","5",16,10,229.52,-0.103848950764644,0
"26","6",10,7,58.208,-1.65297188284342,1
"27","7",15,7,39.012,-0.838026006137351,1
"28","8",10,7,58.96,-0.475063981855253,1
"29","9",25,14,177.42,0.260403464110951,1
"30","10",15,12,180.53,0.799097476221641,1
"31","11",5,5,31.388,-1.16142935035878,1
"32","12",10,7,47.414,-0.891118632925657,1
"33","13",14,9,109.53,-0.285775515484963,1
"34","14",14,8,44.736,0.287016934702205,1
"35","15",17,11,576.518,0.752674627610676,1
"36","16",13,10,93.9,-0.91490098004188,0
"37","17",25,13,228.238,-0.557811453649108,0
"38","18",13,8,183.29,-0.304285394021343,0
"39","19",31,15,209.788,0.254564067111078,0
"40","20",16,11,148.66,0.683746376927438,0
"41","1",18,8,73.828,-1.11989236443133,0
"42","2",25,14,122.298,-0.774654473469132,0
"43","3",24,11,194.85,-0.121274545357364,0
"44","4",43,12,301.428,0.402591289386846,0
"45","5",31,16,221.23,-0.103848950764644,0
"46","6",13,7,84.2,-1.65297188284342,1
"47","7",18,12,62.586,-0.838026006137351,1
"48","8",12,7,117.36,-0.475063981855253,1
"49","9",30,13,128.342,0.260403464110951,1
"50","10",15,7,80.08,0.799097476221641,1
"51","11",7,7,44.168,-1.16142935035878,1
"52","12",11,9,60.568,-0.891118632925657,1
"53","13",18,10,109.05,-0.285775515484963,1
"54","14",18,8,101.388,0.287016934702205,1
"55","15",21,12,654.248,0.752674627610676,1
"56","16",18,7,176.44,-0.91490098004188,0
"57","17",17,8,138.908,-0.557811453649108,0
"58","18",17,9,148.56,-0.304285394021343,0
"59","19",37,17,232.718,0.254564067111078,0
"60","20",34,14,196.4,0.683746376927438,0
"61","1",15,9,87.43,-1.11989236443133,0
"62","2",17,10,96.226,-0.774654473469132,0
"63","3",22,11,326.23,-0.121274545357364,0
"64","4",46,16,405.478,0.402591289386846,0
"65","5",29,14,267.26,-0.103848950764644,0
"66","6",7,4,15.59,-1.65297188284342,1
"67","7",20,10,66.3,-0.838026006137351,1
"68","8",20,9,185.208,-0.475063981855253,1
"69","9",20,13,128.912,0.260403464110951,1
"70","10",16,7,80.01,0.799097476221641,1
"71","11",6,6,13.388,-1.16142935035878,1
"72","12",8,6,41.476,-0.891118632925657,1
"73","13",13,8,125.94,-0.285775515484963,1
