"","Cuni.pa","Dico.ta","Maza.am","Dasypro","Tina.sp","Dasypus","Maza.ne","Tapi.te","Pene.ja","Hadr.sp","Psop.sp","Nasu.na","Myrm.tr","Atel.mi","Cryp.sp","Dide.sp","Eira.ba","Leop.pa","Leop.wi","Myop.sp","Tama.te","trials.k","camera_id","Comunidade","RESEX","Eco_reg","Flo","Flo.Com","Hyd","Def","UC","Com.D","Com.S","HP.L","HP.com","City.S","City.D","HP.C","HP","Eff","X","Y","Mod","X1","Y1","NN","LxL","VDND","Entorno","HH","Eff.2","Julian","J.Days","lat","lon","margem","river.bank"
"PER-T1-C1-1080",0,1,0,4,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,10,"PER-T1-C1-1080","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,0.927913616946004,0.206740523227388,1.520775506709,-1.11989236443133,1.2451295154121,1.55622306341241,1.16434188322382,1.77867399884304,0.208445609447252,1.39402739789748,1.39768003801313,49,-8023290,-895025,"Bushnell Trophy-Cam",-1.31097917270346,-0.560790488280384,-0.542339035805333,0.725668525607324,-0.924961616406226,"não",0.895393673253861,0.535013747335922,"2018-10-17",1.36999113311451,-72.0744,-8.06719,0,"No dogs"
"PER-T1-C2-1550",6,0,0,8,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,10,"PER-T1-C2-1550","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,1.13549424200345,-0.453987796395197,1.48153425462465,-0.774654473469132,1.2451295154121,1.386999804304,0.869601518727128,1.77867399884304,0.21592766200899,1.39123088856969,1.39384904118147,49,-8023784,-894758,"Bushnell Trophy-Cam",-1.31212163192805,-0.55974429073707,-0.542339035805333,0.724840858078322,0.457818242392833,"não",0.84144960460848,0.535013747335922,"2018-10-17",1.36999113311451,-72.0788,-8.0648,0,"No dogs"
"PER-T1-C3-2770",3,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,10,"PER-T1-C3-2770","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,-0.976513946588897,-0.453987796395197,1.39348403406235,-0.121274545357364,1.2451295154121,1.13240368338449,0.515859506356781,1.77867399884304,0.233737284893283,1.38459829494524,1.38596765307632,49,-8024879,-894135,"Bushnell Trophy-Cam",-1.31469216518336,-0.557301704004145,0.62502833747697,0.722889802557601,0.511781189914604,"não",0.758384525870954,0.535013747335922,"2018-10-17",1.36999113311451,-72.0887,-8.05922,0,"No dogs"
"PER-T1-C4-4000",0,2,9,10,1,8,3,0,0,0,2,0,0,0,0,2,0,2,0,4,0,10,"PER-T1-C4-4000","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,0.615782383682413,-0.453987796395197,1.31557051393608,0.402591289386846,1.2451295154121,0.969035200047929,0.334861789177744,1.77867399884304,0.251424866018151,1.37804429526012,1.37876755222696,49,-8025983,-893646,"Bushnell Trophy-Cam",-1.31726269843867,-0.555384404740666,0.62502833747697,0.72146163619678,0.621261486964232,"não",0.620049836539308,0.535013747335922,"2018-10-17",1.36999113311451,-72.0986,-8.05484,0,"No dogs"
"PER-T1-C5-5850",4,2,2,3,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,10,"PER-T1-C5-5850","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,0.95430470018797,-0.453987796395197,1.20033899739541,-0.103848950764644,-0.636875676889723,-0.615317125730246,-0.436406050801215,1.77867399884304,0.279090258627012,1.36785854158934,1.36580020480218,49,-8027732,-892920,"Bushnell Trophy-Cam",-1.32133920067184,-0.552539097614498,1.31050297995802,0.719390348037696,0.271509822424093,"não",0.248623527758287,0.535013747335922,"2018-10-17",1.36999113311451,-72.1143,-8.04834,0,"No dogs"
"PER-T2-C1-550",0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,10,"PER-T2-C1-550","Periquito","RRL","SWA",1.01615504220784,-0.892992547319915,1.14282595862765,-0.229506313424022,1.61157432912006,-1.65297188284342,1.2451295154121,1.89875695686805,1.95311992806102,1.77867399884304,0.19953685239181,1.39736497772574,1.40377592220512,49,-8021718,-895302,"Bushnell Trophy-Cam",-1.30731811018832,-0.561876082383906,0.351517072719158,0.726061638239865,-0.163216795109256,"não",0.945562235704985,0.535013747335922,"2018-10-18",1.38673151659537,-72.0603,-8.06967,1,"Dogs"
"PER-T2-C2-1550",1,0,0,4,0,5,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,10,"PER-T2-C2-1550","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,1.2905071768058,-0.453987796395197,1.68007568924116,-0.838026006137351,1.2451295154121,1.41584401192518,0.916127892911654,1.77867399884304,0.214454179616374,1.39178114784942,1.3945628416421,49,-8021077,-896082,"Bushnell Trophy-Cam",-1.30581214121047,-0.564931504497852,0.35172928855143,0.728821905714401,0.333655898635568,"não",0.895393673253861,0.535013747335922,"2018-10-18",1.38673151659537,-72.0545,-8.07665,1,"Dogs"
"PER-T2-C3-2460",0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,10,"PER-T2-C3-2460","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,1.18267288270288,-0.453987796395197,1.72336467040718,-0.475063981855253,-0.0742094765907616,0.0405247794845248,-0.260537751681367,1.77867399884304,0.229572633389855,1.38614626679015,1.38476150452913,49,-8020435,-896878,"Bushnell Trophy-Cam",-1.30433213721498,-0.5680482101499,0.371015901834676,0.731647614499965,0.0697322248123503,"não",0.852567935695088,0.535013747335922,"2018-10-18",1.38673151659537,-72.0488,-8.08377,1,"Dogs"
"PER-T2-C4-4090",0,0,1,2,2,1,0,0,1,0,2,1,0,0,1,7,0,0,0,1,1,10,"PER-T2-C4-4090","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,-0.976513946588897,-0.453987796395197,1.83824645960357,0.260403464110951,-0.0742094765907616,-0.210432761964112,-0.342730559770116,1.77867399884304,0.252197456613867,1.37775876536663,1.37606179416556,49,-8018921,-897502,"Bushnell Trophy-Cam",-1.30077493462935,-0.570495174278404,1.05984761056274,0.733414193626989,0.0757941602258339,"não",0.84144960460848,0.535013747335922,"2018-10-18",1.38673151659537,-72.0351,-8.08936,1,"Dogs"
"PER-T2-C5-5670",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,"PER-T2-C5-5670","Periquito","RRL","SWA",-0.382677170291746,-0.892992547319915,-0.976513946588897,-0.453987796395197,1.74635726236592,0.799097476221641,-0.0742094765907616,-0.359025032129023,-0.381917290203065,1.77867399884304,0.275653061563658,1.3691197277482,1.36726087433274,49,-8017750,-898602,"Bushnell Trophy-Cam",-1.29804861147978,-0.574806908923442,1.05984761056274,0.737193322959662,-1.03020726440007,"não",0.692547680675724,0.535013747335922,"2018-10-18",1.38673151659537,-72.0246,-8.09921,1,"Dogs"
